date,session,price
2026-07-01,Morning,12905
2026-07-01,Evening,13040
2026-07-02,Morning,13250
2026-07-02,Forenoon,13180
2026-07-02,Evening,13350
2026-07-03,,13475
2026-07-04,,13450
2026-07-05,,13450
2026-07-06,,13440
2026-07-07,,13315
2026-07-08,Morning,13245
2026-07-08,Afternoon,13120
2026-07-09,Morning,13130
2026-07-09,Afternoon,13240
2026-07-10,,13275
2026-07-11,,13230
2026-07-12,,13230
2026-07-13,Yesterday,13100
2026-07-14,Today,13090
